,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
13,8.0,8.5,9.0,9.0,9.5,9.0,8.5,10.0,10.0,8.5,8.5,8.5,8.5,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,8.5,8.5,8.5,8.5,8.5,7.5,7.0,8.5,8.5,8.5,8.5,8.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,10.0,8.0,6.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,9.5,10.0
14,8.0,9.5,10.0,8.5,6.0,8.5,9.5,7.0,8.0,9.5,9.5,8.5,9.5,8.0,7.0,7.0,7.0,7.0,8.5,9.5,9.5,8.5,8.5,9.0,9.0,10.0,10.0,10.0,7.0,10.0,7.0,8.0,8.0,7.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,6.0,10.0
15,9.0,9.0,8.5,8.0,8.5,10.0,10.0,8.5,9.5,10.0,10.0,10.0,10.0,8.5,9.5,8.5,9.5,8.5,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.5,9.0,8.5,9.5,9.5,9.5,10.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,8.5,10.0,9.0,8.0,9.0,9.0,9.0,9.0,8.5,8.5,8.5,8.5,9.5,8.5
16,8.0,10.0,6.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,9.5,9.5,9.5,9.5,9.5,8.5,10.0,9.5,9.5,9.5,9.5,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,7.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,7.0,7.0,7.0,7.0,9.0,7.0
17,7.5,9.0,9.5,9.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,9.5,10.0,8.5,9.0,8.0,9.0,9.0,9.0,9.5,9.5,9.5,8.5,10.0,9.5
18,8.5,-1.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-1.0
19,6.0,9.0,-1.0,9.0,8.5,9.0,10.0,-1.0,0.0,10.0,10.0,10.0,9.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,9.5,-1.0
20,8.5,10.0,0.0,9.0,10.0,8.5,9.0,9.5,9.5,10.0,9.0,10.0,9.0,9.5,9.5,8.5,8.5,9.5,9.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,8.5,0.0,8.5,8.5,9.5,8.5,0.0,7.0,7.0,6.0,7.0,6.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,8.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,10.0,0.0
21,9.0,9.0,8.5,9.0,10.0,7.5,8.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,7.0,6.0,8.0,8.0,8.0,8.0,8.5,7.0,10.0,9.0,8.0,9.0,9.0,9.0,8.5,9.5,8.5,8.5,10.0,8.5
22,9.0,-1.0,-1.0,9.5,7.0,8.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,6.0,0.0
23,9.5,10.0,0.0,10.0,0.0,6.0,10.0,9.5,9.5,10.0,9.0,9.0,9.0,9.5,8.5,9.5,9.5,9.5,9.5,8.5,9.5,8.5,8.5,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,7.0,6.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0
24,9.0,10.0,8.5,9.5,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,8.5,10.0,8.5,9.5,9.5,8.5,9.5,9.5,8.5,8.5,9.5,9.5,8.5,9.5
25,7.0,9.0,9.0,9.0,10.0,9.5,9.0,9.5,8.5,9.0,8.0,9.0,8.0,9.5,8.5,8.5,9.5,9.5,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,7.0,5.0,7.0,8.0,7.0,8.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,8.0,8.0,9.0,10.0,9.0
