,0,1,2,3,4,5,6,7,8,9
75,10.0,-1.0,0.0,0.0,10.0,9.0,-1.0,-1.0,0.0,10.0
76,8.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0
77,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0
78,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0
79,9.0,7.0,8.0,10.0,9.0,9.0,6.0,8.0,10.0,9.0
80,10.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0
81,10.0,8.0,7.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0
82,8.0,7.0,7.0,10.0,8.0,8.0,7.0,6.0,10.0,8.0
83,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0
84,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
85,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0
86,10.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0
87,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0
88,10.0,3.0,10.0,10.0,10.0,9.0,3.0,10.0,9.0,10.0
89,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
90,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
91,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0
92,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0
93,10.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0
94,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0
95,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0
96,8.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0
97,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
98,9.0,10.0,8.0,10.0,9.0,10.0,10.0,8.0,9.0,10.0
99,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
100,9.0,10.0,8.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0
101,10.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0
102,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0
103,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0
104,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0
105,9.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0
106,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
107,5.0,9.0,10.0,10.0,5.0,6.0,9.0,10.0,10.0,6.0
108,10.0,8.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0
109,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
110,10.0,9.0,7.0,9.0,10.0,9.0,9.0,7.0,10.0,10.0
111,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0
112,10.0,9.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0
113,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0
114,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0
115,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0
116,9.0,9.0,6.0,10.0,10.0,10.0,9.0,6.0,10.0,10.0
117,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0
118,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
119,10.0,7.0,10.0,9.0,10.0,10.0,7.0,10.0,9.0,9.0
120,10.0,6.0,9.0,9.0,10.0,10.0,5.0,10.0,10.0,9.0
121,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0
122,9.0,8.0,10.0,8.0,10.0,10.0,8.0,10.0,7.0,9.0
123,10.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0
124,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0
125,10.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0
126,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
127,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
128,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0
129,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0
130,9.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0
131,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0
132,9.0,10.0,8.0,9.0,10.0,9.0,9.0,7.0,8.0,9.0
133,10.0,0.0,8.0,10.0,10.0,10.0,0.0,8.0,10.0,10.0
134,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0
135,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0
136,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0
137,10.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0
138,10.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0
139,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0
140,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
141,9.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0
142,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0
143,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0
144,9.0,6.0,10.0,0.0,9.0,9.0,7.0,9.0,-1.0,9.0
145,10.0,9.0,9.0,0.0,10.0,10.0,10.0,9.0,-1.0,9.0
146,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0
147,10.0,7.0,9.0,8.0,10.0,10.0,7.0,9.0,8.0,10.0
148,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0
149,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0
150,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0
151,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0
152,9.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0
153,9.0,9.0,0.0,9.0,10.0,10.0,8.0,-1.0,10.0,9.0
154,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0
155,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
156,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
157,10.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0
158,10.0,9.0,8.0,10.0,10.0,10.0,8.0,7.0,9.0,10.0
159,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0
160,6.0,9.0,8.0,9.0,5.0,6.0,9.0,8.0,10.0,6.0
161,10.0,3.0,6.0,9.0,10.0,10.0,4.0,7.0,9.0,9.0
162,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0
163,8.0,10.0,10.0,10.0,8.0,8.0,10.0,10.0,10.0,8.0
164,10.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0
165,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0
166,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0
167,9.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0
168,7.0,10.0,10.0,10.0,6.0,7.0,9.0,10.0,10.0,6.0
